id_parl,cargo,siglaUf,municipio,anoInicio,anoFim,siglaPartidoEleicao,uriPartidoEleicao
139266,Deputado(a) Estadual,GO,,1955,1959,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834
139266,Deputado(a) Estadual,GO,,1959,1963,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834
73729,Vereador(a),SP,,1989,1991,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844
73729,Vereador(a),SP,,1983,1988,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844
139265,Prefeito(a),AM,,1979,1982,ARENA,https://dadosabertos.camara.leg.br/api/v2/partidos/36768
139269,Vereador(a),RJ,,1983,1987,PDS,https://dadosabertos.camara.leg.br/api/v2/partidos/36785
139267,Prefeito(a),RO,,,,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
139267,Vereador(a),RO,,1983,1985,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
139267,Prefeito(a),,,1993,,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835
139271,Prefeito(a),MG,,1963,1967,PTB,https://dadosabertos.camara.leg.br/api/v2/partidos/36845
139268,Senador(a),CE,,1979,1987,ARENA,https://dadosabertos.camara.leg.br/api/v2/partidos/36768
139273,Deputado(a) Estadual,PR,,1979,1983,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
139275,Deputado(a) Estadual,PE,,1983,1987,PDS,https://dadosabertos.camara.leg.br/api/v2/partidos/36785
139275,Deputado(a) Estadual,PE,,1979,1983,ARENA,https://dadosabertos.camara.leg.br/api/v2/partidos/36768
139275,Vice-Prefeito(a),PE,,1977,1979,ARENA,https://dadosabertos.camara.leg.br/api/v2/partidos/36768
139276,Vereador(a),RO,,1977,1983,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
139279,Prefeito(a),,,1989,1989,,https://dadosabertos.camara.leg.br/api/v2/partidos/null
139278,Vice-Prefeito(a),,,1993,1996,,https://dadosabertos.camara.leg.br/api/v2/partidos/null
139281,Deputado(a) Estadual,RS,,1975,1979,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
139281,Vereador(a),RS,,1973,1975,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
139281,Vereador(a),RS,,1969,1973,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
139281,Vereador(a),RS,,,1963,,https://dadosabertos.camara.leg.br/api/v2/partidos/null
139282,Vereador(a),AP,Macapá,1982,1984,,https://dadosabertos.camara.leg.br/api/v2/partidos/null
139277,Deputado(a) Estadual,SP,,1983,1987,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
139277,Deputado(a) Estadual,SP,,1979,1983,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
139283,Deputado(a) Estadual,RS,,1979,1983,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
139283,Deputado(a) Estadual,RS,,1975,1979,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
139283,Deputado(a) Estadual,RS,,1971,1975,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
139283,Vereador(a),RS,,1969,1971,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
139283,Vereador(a),RS,,1965,1969,PTB,https://dadosabertos.camara.leg.br/api/v2/partidos/36845
139284,Prefeito(a),MS,,1980,1982,PDS,https://dadosabertos.camara.leg.br/api/v2/partidos/36785
139284,Prefeito(a),MT,,1973,1977,ARENA,https://dadosabertos.camara.leg.br/api/v2/partidos/36768
139284,Deputado(a) Estadual,MT,,1971,1972,ARENA,https://dadosabertos.camara.leg.br/api/v2/partidos/36768
139284,Senador(a),MS,,1991,1999,PPR,https://dadosabertos.camara.leg.br/api/v2/partidos/36812
139286,Prefeito(a),CE,,1979,1982,ARENA,https://dadosabertos.camara.leg.br/api/v2/partidos/36768
139286,Vice-Governador(a),CE,,1991,1994,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786
139286,Senador(a),,,1995,,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786
139285,Vereador(a),BA,Salvador,1983,1987,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
139285,Prefeito(a),BA,Salvador,1993,1996,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835
139285,Deputado(a) Estadual,BA,,1999,2003,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832
139285,Deputado(a) Estadual,BA,,2003,2007,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832
139285,Senador(a),BA,,2011,2019,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832
139289,Presidente da República,,,2003,2011,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844
139289,Presidente da República,,,2023,,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844
139287,Deputado(a) Estadual,MG,,1983,1987,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
139287,Deputado(a) Estadual,MG,,1979,1983,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
139287,Vereador(a),MG,,1977,1979,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
139290,Prefeito(a),MG,,1973,1977,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
139290,Vereador(a),MG,,1965,1969,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
139291,Prefeito(a),CE,,1978,1979,,https://dadosabertos.camara.leg.br/api/v2/partidos/null
139288,Deputado(a) Estadual,PE,,1983,1987,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
139292,Deputado(a) Estadual,GO,,1982,1986,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
139292,Vereador(a),GO,,1976,1980,ARENA,https://dadosabertos.camara.leg.br/api/v2/partidos/36768
139292,Vice-Governador(a),GO,,1991,1994,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
139292,Governador(a),GO,,1995,1998,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
139292,Senador(a),GO,,1999,2007,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
139293,Vereador(a),BA,,1977,1978,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
73760,Vereador(a),MS,,1977,1982,ARENA,https://dadosabertos.camara.leg.br/api/v2/partidos/36768
73761,Deputado(a) Estadual,MS,,1987,1991,PTB,https://dadosabertos.camara.leg.br/api/v2/partidos/36845
73761,Deputado(a) Estadual,MS,,1983,1987,PDS,https://dadosabertos.camara.leg.br/api/v2/partidos/36785
73761,Vice-Prefeito(a),MS,,1963,1964,PTB,https://dadosabertos.camara.leg.br/api/v2/partidos/36845
73765,Senador(a),PR,,1987,1995,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
73765,Senador(a),PR,,1979,1987,ARENA,https://dadosabertos.camara.leg.br/api/v2/partidos/36768
73765,Vice-Governador(a),PR,,1964,1965,PDC,https://dadosabertos.camara.leg.br/api/v2/partidos/36783
73766,Deputado(a) Estadual,PR,,1963,1967,PDC,https://dadosabertos.camara.leg.br/api/v2/partidos/36783
73766,Vereador(a),PR,,1959,1963,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834
73766,Vereador(a),PR,,1955,1959,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834
139301,Deputado(a) Estadual,PR,,1975,1979,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
73771,Senador(a),PR,,2003,2011,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844
73771,Senador(a),PR,,2019,2027,PODE,https://dadosabertos.camara.leg.br/api/v2/partidos/36896
73771,Vice-Governador(a),PR,,2011,2015,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835
139300,Senador(a),RR,,1991,1994,PTB,https://dadosabertos.camara.leg.br/api/v2/partidos/36845
139300,Senador(a),RR,,1995,,PTB,https://dadosabertos.camara.leg.br/api/v2/partidos/36845
73772,Vereador(a),PR,Cascavel,1993,1995,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
73772,Vereador(a),PR,Cascavel,1989,1993,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
73772,Vereador(a),PR,Cascavel,1983,1988,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
73775,Prefeito(a),PR,,1989,1993,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
73775,Vereador(a),PR,,1977,1982,ARENA,https://dadosabertos.camara.leg.br/api/v2/partidos/36768
73777,Deputado(a) Estadual,PR,,1989,1991,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
73778,Vereador(a),PR,,1973,1977,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
73778,Prefeito(a),PR,,1983,1987,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
139311,Governador(a),TO,,1991,1994,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
139311,Prefeito(a),GO,,1983,1988,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
73781,Prefeito(a),PR,,1989,1993,PDS,https://dadosabertos.camara.leg.br/api/v2/partidos/36785
73782,Vereador(a),PR,,1973,1977,ARENA,https://dadosabertos.camara.leg.br/api/v2/partidos/36768
73782,Prefeito(a),PR,,1977,1983,ARENA,https://dadosabertos.camara.leg.br/api/v2/partidos/36768
73782,Prefeito(a),PR,,1989,1993,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790
