parlamentar.id,parlamentar.uri,parlamentar.nome,parlamentar.siglaPartido,parlamentar.uriPartido,parlamentar.siglaUf,parlamentar.idLegislatura,parlamentar.email,parlamentar.urlFoto,titulo,bancada.tipo,bancada.nome,bancada.uri,dataInicio,dataFim
73801,https://dadosabertos.camara.leg.br/api/v2/deputados/73801,RENILDO CALHEIROS,PCdoB,https://dadosabertos.camara.leg.br/api/v2/partidos/36779,PE,53,dep.renildocalheiros@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/73801.jpgmaior.jpg,Vice-Líder,Governo na CD,Governo na CD,,2003-02-07,2007-03-07
73478,https://dadosabertos.camara.leg.br/api/v2/deputados/73478,BETO ALBUQUERQUE,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,RS,53,,https://www.camara.leg.br/internet/deputado/bandep/73478.jpgmaior.jpg,Vice-Líder,Governo na CD,Governo na CD,,2003-02-07,2011-01-31
74426,https://dadosabertos.camara.leg.br/api/v2/deputados/74426,JOSÉ MÚCIO MONTEIRO,PTB,https://dadosabertos.camara.leg.br/api/v2/partidos/36845,PE,53,,https://www.camara.leg.br/internet/deputado/bandep/74426.jpgmaior.jpg,Líder,Partido Político,PTB,https://dadosabertos.camara.leg.br/api/v2/partidos/36845,2003-10-15,2007-02-01
74550,https://dadosabertos.camara.leg.br/api/v2/deputados/74550,JOÃO LEÃO,PP**,https://dadosabertos.camara.leg.br/api/v2/partidos/36809,BA,53,dep.joaoleao@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/74550.jpgmaior.jpg,Vice-Líder,Governo no CN,Governo no CN,,2004-03-31,2011-01-31
74063,https://dadosabertos.camara.leg.br/api/v2/deputados/74063,FERNANDO DE FABINHO,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,BA,53,,https://www.camara.leg.br/internet/deputado/bandep/74063.jpgmaior.jpg,Vice-Líder,Minoria na CD,Minoria na CD,,2004-12-08,2007-02-06
74693,https://dadosabertos.camara.leg.br/api/v2/deputados/74693,RODRIGO MAIA,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,RJ,53,,https://www.camara.leg.br/internet/deputado/bandep/74693.jpgmaior.jpg,Líder,Partido Político,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790,2005-02-03,2007-02-06
74553,https://dadosabertos.camara.leg.br/api/v2/deputados/74553,JOSÉ CARLOS ALELUIA,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,BA,53,,https://www.camara.leg.br/internet/deputado/bandep/74553.jpgmaior.jpg,Líder,Minoria na CD,Minoria na CD,,2005-02-16,2007-02-06
73433,https://dadosabertos.camara.leg.br/api/v2/deputados/73433,ARLINDO CHINAGLIA,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,SP,53,dep.arlindochinaglia@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/73433.jpgmaior.jpg,Líder,Governo na CD,Governo na CD,,2005-03-23,2007-02-01
74471,https://dadosabertos.camara.leg.br/api/v2/deputados/74471,ANDRÉ DE PAULA,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,PE,53,,https://www.camara.leg.br/internet/deputado/bandep/74471.jpgmaior.jpg,Vice-Líder,Minoria na CD,Minoria na CD,,2005-05-18,2007-02-06
73482,https://dadosabertos.camara.leg.br/api/v2/deputados/73482,HENRIQUE FONTANA,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,RS,53,,https://www.camara.leg.br/internet/deputado/bandep/73482.jpgmaior.jpg,Líder,Partido Político,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,2005-09-01,2007-02-08
74862,https://dadosabertos.camara.leg.br/api/v2/deputados/74862,MIRO TEIXEIRA,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,RJ,53,,https://www.camara.leg.br/internet/deputado/bandep/74862.jpgmaior.jpg,Líder,Partido Político,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,2006-02-14,2008-02-21
73471,https://dadosabertos.camara.leg.br/api/v2/deputados/73471,FERNANDO CORUJA,PPS,https://dadosabertos.camara.leg.br/api/v2/partidos/36813,SC,53,,https://www.camara.leg.br/internet/deputado/bandep/73471.jpgmaior.jpg,Líder,Partido Político,PPS,https://dadosabertos.camara.leg.br/api/v2/partidos/36813,2006-02-15,2011-01-31
74635,https://dadosabertos.camara.leg.br/api/v2/deputados/74635,MÁRIO NEGROMONTE,PP**,https://dadosabertos.camara.leg.br/api/v2/partidos/36809,BA,53,,https://www.camara.leg.br/internet/deputado/bandep/74635.jpgmaior.jpg,Líder,Partido Político,PP**,https://dadosabertos.camara.leg.br/api/v2/partidos/36809,2006-02-15,2010-02-01
74570,https://dadosabertos.camara.leg.br/api/v2/deputados/74570,JUTAHY JUNIOR,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,BA,53,,https://www.camara.leg.br/internet/deputado/bandep/74570.jpgmaior.jpg,Líder,Partido Político,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,2006-02-15,2007-02-01
74218,https://dadosabertos.camara.leg.br/api/v2/deputados/74218,WALTER PINHEIRO,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,BA,53,,https://www.camara.leg.br/internet/deputado/bandep/74218.jpgmaior.jpg,Vice-Líder,Governo no CN,Governo no CN,,2006-04-04,2009-03-26
74044,https://dadosabertos.camara.leg.br/api/v2/deputados/74044,WILSON SANTIAGO,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,PB,53,dep.wilsonsantiago@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/74044.jpgmaior.jpg,Líder,Partido Político,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,2006-04-10,2007-02-01
74841,https://dadosabertos.camara.leg.br/api/v2/deputados/74841,FERNANDO GABEIRA,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,RJ,53,,https://www.camara.leg.br/internet/deputado/bandep/74841.jpgmaior.jpg,Vice-Líder,Partido Político,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,2006-04-18,2007-02-12
74210,https://dadosabertos.camara.leg.br/api/v2/deputados/74210,SARNEY FILHO,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,MA,53,,https://www.camara.leg.br/internet/deputado/bandep/74210.jpgmaior.jpg,Vice-Líder,Partido Político,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,2006-05-25,2007-02-12
74171,https://dadosabertos.camara.leg.br/api/v2/deputados/74171,CHICO ALENCAR,PSOL,https://dadosabertos.camara.leg.br/api/v2/partidos/36839,RJ,53,dep.chicoalencar@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/74171.jpgmaior.jpg,Líder,Partido Político,PSOL,https://dadosabertos.camara.leg.br/api/v2/partidos/36839,2006-10-04,2008-02-18
74397,https://dadosabertos.camara.leg.br/api/v2/deputados/74397,LUCIANA GENRO,PSOL,https://dadosabertos.camara.leg.br/api/v2/partidos/36839,RS,53,,https://www.camara.leg.br/internet/deputado/bandep/74397.jpgmaior.jpg,1º Vice-Líder,Partido Político,PSOL,https://dadosabertos.camara.leg.br/api/v2/partidos/36839,2006-10-04,2008-02-18
73982,https://dadosabertos.camara.leg.br/api/v2/deputados/73982,LUCIANO CASTRO,PR,https://dadosabertos.camara.leg.br/api/v2/partidos/36814,RR,53,,https://www.camara.leg.br/internet/deputado/bandep/73982.jpgmaior.jpg,Líder,Partido Político,PR,https://dadosabertos.camara.leg.br/api/v2/partidos/36814,2007-02-01,2009-02-03
141452,https://dadosabertos.camara.leg.br/api/v2/deputados/141452,LÉO VIVAS,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/36815,RJ,53,,https://www.camara.leg.br/internet/deputado/bandep/141452.jpgmaior.jpg,Representante,Partido Político,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/36815,2007-02-01,2009-02-03
141497,https://dadosabertos.camara.leg.br/api/v2/deputados/141497,MÁRCIO FRANÇA,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,SP,53,,https://www.camara.leg.br/internet/deputado/bandep/141497.jpgmaior.jpg,Líder,Partido Político,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,2007-02-01,2009-02-01
74278,https://dadosabertos.camara.leg.br/api/v2/deputados/74278,MARCELO ORTIZ,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,SP,53,,https://www.camara.leg.br/internet/deputado/bandep/74278.jpgmaior.jpg,Líder,Partido Político,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,2007-02-01,2007-09-21
73431,https://dadosabertos.camara.leg.br/api/v2/deputados/73431,ANTONIO CARLOS PANNUNZIO,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SP,53,,https://www.camara.leg.br/internet/deputado/bandep/73431.jpgmaior.jpg,Líder,Partido Político,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,2007-02-01,2008-02-14
141497,https://dadosabertos.camara.leg.br/api/v2/deputados/141497,MÁRCIO FRANÇA,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,SP,53,,https://www.camara.leg.br/internet/deputado/bandep/141497.jpgmaior.jpg,Líder,Bloco Parlamentar,"PSB, PCdoB, PRB",https://dadosabertos.camara.leg.br/api/v2/blocos/533,2007-02-01,2007-06-14
73801,https://dadosabertos.camara.leg.br/api/v2/deputados/73801,RENILDO CALHEIROS,PCdoB,https://dadosabertos.camara.leg.br/api/v2/partidos/36779,PE,53,dep.renildocalheiros@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/73801.jpgmaior.jpg,Líder,Partido Político,PCdoB,https://dadosabertos.camara.leg.br/api/v2/partidos/36779,2007-02-01,2008-02-26
