Profile,Mean_Cosine,Median_Cosine,Partido,Estado,total_posts_profile_antes_filtro,total_posts_profile_depois_filtro,num_publicacoes_neste_df
Dimas Fabiano,0.4890765879088421,0.5474121470140966,PP,,384,135,135
Célia Xakriabá,0.3338006191549865,0.27731986424138744,PSOL,,1197,531,531
Pastor Eurico,0.28682287542936835,0.26300531150286094,PL,,383,142,142
Da Vitoria,0.2630614024070086,0.001842684288625948,PP,,611,52,52
Celso Russomanno,0.2617603504243749,8.302701541622425e-05,REPUBLICANOS,,186,13,13
Mário Negromonte Jr.,0.24406285639137643,0.2216335166218228,PP,,400,13,13
Baleia Rossi,0.2293845991700441,0.003983348043225987,MDB,,283,57,57
Luciano Azevedo,0.22279036835456495,0.1787960633264699,PSD,,156,12,12
Alfredinho,0.20810257997966064,0.14605064695474324,PT,,884,127,127
Elmar Nascimento,0.20570169496022214,7.29137308516055e-05,UNIÃO,,148,17,17
Junior Lourenço,0.20450632934206323,0.004059088568386784,PL,,55,8,8
Zezinho Barbary,0.1979106670691048,0.04086739966615363,PP,,562,92,92
Juliana Cardoso,0.19465011754992345,0.11376863553228073,PT,,1401,648,648
Emidinho Madeira,0.19233349093985197,0.0008112660347691534,PL,,515,65,65
Gilvan da Federal,0.19193187671441553,0.11589930229737333,PL,,1158,223,223
Josimar Maranhãozinho,0.18944467459235295,0.0029805279848731784,PL,,381,28,28
Professora Luciene Cavalcante,0.1887990687374393,0.08457802597092887,PSOL,,1436,604,604
Átila Lins,0.18737732172002194,0.010074510269767231,PSD,,152,30,30
Rui Falcão,0.18263770932114368,3.7408340240024656e-05,PT,,204,27,27
Professor Alcides,0.1812189677428827,0.0016877624724146072,PL,,704,102,102
Soraya Santos,0.1802562100823916,0.05356807237412195,PL,,322,89,89
Paulo Guedes,0.17951556989336415,0.05847680004682821,PT,,1494,226,226
Fernanda Melchionna,0.17844263884857253,0.09718685723977483,PSOL,,1497,337,337
Gabriel Nunes,0.1779901033140328,0.08983077020925954,PSD,,458,82,82
Josivaldo JP,0.17519276629803193,1.1362306215682412e-06,PSD,,282,74,74
Zé Haroldo Cathedral,0.1719716035803854,0.013635881434745999,PSD,,222,43,43
Elcione Barbalho,0.17114809631783032,0.007712923494608106,MDB,,587,81,81
Filipe Barros,0.1693964297361361,-5.4321727434324044e-05,PL,,290,8,8
Luiza Erundina,0.1687685658672195,0.08967373422202286,PSOL,,494,56,56
Lindbergh Farias,0.16672261951366865,0.0008221484696013936,PT,,1501,80,80
Paulão,0.1659519835634131,0.07607817454142354,PT,,889,292,292
Guilherme Uchoa,0.16540585355093745,0.0036089406126760455,PSB,,359,90,90
Carlos Chiodini,0.16538021696630473,0.0023795605173449184,MDB,,288,45,45
Reimont,0.16328607967622122,0.055310697975879106,PT,,750,139,139
Márcio Jerry,0.15958138767934454,0.0025764778859158058,PCdoB,,1082,82,82
Márcio Honaiser,0.1593014966668508,0.001332557266479729,PDT,,305,84,84
Aluisio Mendes,0.15813812368319072,0.0010271916303123073,REPUBLICANOS,,698,109,109
Luis Carlos Gomes,0.1576881213433174,2.6608167938896855e-06,REPUBLICANOS,,177,27,27
Roberto Monteiro Pai,0.1574146608789099,2.4318201977013754e-05,PL,,200,34,34
Natália Bonavides,0.15686707231263383,0.05266537905068733,PT,,1433,272,272
Delegada Ione,0.15556444771318795,0.00017778068509981802,AVANTE,,345,78,78
Giacobo,0.15504852926717447,0.0009170349304112442,PL,,534,106,106
Luizianne Lins,0.154888095059135,0.054346329758237895,PT,,718,121,121
Afonso Hamm,0.15327464512252956,0.00029255150067057504,PP,,339,26,26
Maria Rosas,0.15270797140806963,0.0002560460405749445,REPUBLICANOS,,480,118,118
Dilvanda Faro,0.15263962425427488,0.0017013309797268175,PT,,728,90,90
Dandara,0.15259373236839974,0.08308541250059512,PT,,1117,420,420
Carlos Gomes,0.15191750974497706,0.0003330706554397779,REPUBLICANOS,,588,62,62
Iza Arruda,0.15178221092744126,0.019257033072610206,MDB,,453,119,119
Ruy Carneiro,0.15077363711319516,0.0019304262799728538,PODEMOS,,493,147,147
Sâmia Bomfim,0.15037857834043714,0.07071219613416475,PSOL,,961,292,292
João Daniel,0.14961734711275854,0.008006235376083339,PT,,795,285,285
Charles Fernandes,0.14858250315452157,0.000426902194376392,PSD,,374,55,55
Kiko Celeguim,0.14818831017836234,0.00016051792070053504,PT,,622,96,96
Marcon,0.14795385381989004,0.003726709072564137,PT,,923,162,162
Weliton Prado,0.14752076231094668,0.05150039596451064,SOLIDARIEDADE,,261,20,20
Vicentinho,0.14743074165070696,0.0009599713667246821,PT,,865,184,184
Gervásio Maia,0.14721837838930354,0.00010712126443964049,PSB,,486,41,41
Marreca Filho,0.14644427290258158,0.0003073142758199168,PRD,,197,18,18
Max Lemos,0.14623024015308475,0.04553443248224568,PDT,,394,137,137
Marcos Tavares,0.14499401576157836,0.000185079262210357,PDT,,554,61,61
Hercílio Coelho Diniz,0.14456863539583456,0.00011658215183422463,MDB,,309,33,33
Fabio Reis,0.1442758719305049,0.0012869508126370326,PSD,,245,43,43
Daiana Santos,0.14356848425810959,0.042345246448984894,PCdoB,,1172,296,296
Lucio Mosquini,0.1434920364907783,2.3453384716321816e-05,MDB,,420,52,52
Eduardo da Fonte,0.14323666744685984,0.003131500922850105,PP,,108,12,12
Valmir Assunção,0.14281531988027352,0.03488303704156161,PT,,1250,201,200
Dal Barreto,0.14278588382313828,0.0001794388023322285,UNIÃO,,286,82,82
Odair Cunha,0.14260787137340147,7.037450953404461e-06,PT,,1207,149,149
Alice Portugal,0.14146286995253188,0.04357861588230832,PCdoB,,1281,326,326
Roberto Duarte,0.141164378819147,4.242243695179268e-06,REPUBLICANOS,,589,119,119
Amanda Gentil,0.14055125102672333,0.04091171944185611,PP,,178,47,47
Juarez Costa,0.14039358863744678,0.0018015028800800461,MDB,,133,29,29
Lula da Fonte,0.1398803457038604,0.0008702354586750504,PP,,197,33,33
Renilce Nicodemos,0.13905734517832788,0.0002576340832234348,MDB,,980,152,152
Daniel Almeida,0.13881780570178862,0.0003223881956802632,PCdoB,,944,218,218
Benedita da Silva,0.13773632915682818,0.0004435839554745765,PT,,1239,165,165
Waldenor Pereira,0.13762561961250733,0.0004401410628537615,PT,,574,104,104
André Figueiredo,0.1368715834856946,0.0008130973512350979,PDT,,678,149,149
Gabriel Mota,0.13676111443193814,0.003933607326463438,REPUBLICANOS,,107,9,9
Luiz Fernando Faria,0.13560683502021662,6.536341359959705e-05,PSD,,95,19,19
Lêda Borges,0.13536949543015384,0.00022052428370710362,PSDB,,718,64,64
Gerlen Diniz,0.13493767898612724,-4.543963286443295e-06,PP,,231,26,26
Toninho Wandscheer,0.13399790962709815,0.0004579664188829724,PP,,1457,150,150
Silas Câmara,0.13320089179801942,0.0017833586355878938,REPUBLICANOS,,947,106,106
Carlos Zarattini,0.1328378983608931,6.524717713205861e-05,PT,,1567,196,196
Duarte Jr.,0.13114300822811004,0.00035443928702976314,PSB,,727,66,66
Antonio Brito,0.1311037082761031,-1.3335553468421993e-05,PSD,,433,8,8
Fred Costa,0.1310501094455788,4.516363359761673e-05,PRD,,307,35,35
José Priante,0.13069879579797192,0.0006532811505532541,MDB,,391,52,52
Maria do Rosário,0.1306092698039075,0.0010456907577389427,PT,,1875,389,389
Luciano Amaral,0.12997399349080366,0.001001596989837083,PV,,119,13,13
Talíria Petrone,0.12948429101319126,0.04568586749771296,PSOL,,1394,331,331
Bruno Farias,0.1286717554613505,1.4885716565685127e-05,AVANTE,,167,9,9
Delegada Adriana Accorsi,0.12785187121592725,8.479177550281192e-05,PT,,1824,299,299
Defensor Stélio Dener,0.1268701359932637,0.0009049656674950398,REPUBLICANOS,,111,42,42
Silvia Cristina,0.12633790833433445,6.139536991145615e-07,PP,,1140,146,146
Jack Rocha,0.12626011285712008,0.0022070803798860767,PT,,705,131,131
Coronel Chrisóstomo,0.1260992365876969,8.86175752461933e-06,PL,,653,110,110
Glauber Braga,0.12588607909714314,0.0019667376927720043,PSOL,,1045,261,261
Arlindo Chinaglia,0.1254725312772624,3.5547887778830075e-05,PT,,405,12,12
Dr. Benjamim,0.12544162806244186,0.001806613154509416,UNIÃO,,337,58,58
